Safeguard name_l1,Criteria_l2,Criteria_l2_VN,Interpretation_l3,Interpretation_l3_VN,Criteria_number_l4,Indicator_name_l5,Indicator_name_l5_vn,Indicator type,Mean of verification,Column,Indicator table,Allias,Column 4,Column 5,Column 6,Column 7
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,H. Implementation of FPIC processes: Number of FPIC processes where support is confirmed by communities (as proportion of total number of FPIC processes carried out),H. Thực hiện quá trình FPIC: Số FPIC xử lý nơi hỗ trợ được xác nhận bởi cộng đồng (như tỷ lệ của tổng số FPIC các quá trình thực hiện),Output,SEE SG C,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,I. No. complaints received and addressed that relate to issues of rights to land/resources (disaggregated by EM / gender status of complainants if possible),I. Số khiếu nại nhận và giải quyết có liên quan đến các vấn đề về quyền đối với đất / tài nguyên (chia theo EM / tình trạng giới tính của người khiếu nại nếu có thể),Output,From GRM reporting – disaggregation by basic complaint type would be needed,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods","chia sẻ lợi ích công bằng: Công nhận về vai trò của rừng và chia sẻ lợi ích về phát triển nông thôn và xóa đói giảm nghèo, đặc biệt đối với dân tộc thiểu số và các nhóm khác mà phụ thuộc vào đất rừng và tài nguyên cho sinh kế của họ",B2.3,A. No. of Community Benefit-sharing agreements : Total number of agreements,A. Số Cộng đồng thỏa thuận chia sẻ lợi ích: Tổng số các thỏa thuận,Output,Community benefit-sharing agreements,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods","chia sẻ lợi ích công bằng: Công nhận về vai trò của rừng và chia sẻ lợi ích về phát triển nông thôn và xóa đói giảm nghèo, đặc biệt đối với dân tộc thiểu số và các nhóm khác mà phụ thuộc vào đất rừng và tài nguyên cho sinh kế của họ",B2.3,A. No. of Community Benefit-sharing agreements : Number of HHs covered by agreements (and proportion of EM households),A. Số Cộng đồng thỏa thuận chia sẻ lợi ích: Số hộ được ký cam kết (và tỷ lệ hộ EM),Output,Community benefit-sharing agreements,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods","chia sẻ lợi ích công bằng: Công nhận về vai trò của rừng và chia sẻ lợi ích về phát triển nông thôn và xóa đói giảm nghèo, đặc biệt đối với dân tộc thiểu số và các nhóm khác mà phụ thuộc vào đất rừng và tài nguyên cho sinh kế của họ",B2.3,"Benefit sharing outcomes (i.e. funds transferred, recipients etc )","kết quả chia sẻ lợi ích (ví dụ: quỹ chuyển nhượng, người nhận vv)",Output,Community benefit-sharing agreements,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods","chia sẻ lợi ích công bằng: Công nhận về vai trò của rừng và chia sẻ lợi ích về phát triển nông thôn và xóa đói giảm nghèo, đặc biệt đối với dân tộc thiểu số và các nhóm khác mà phụ thuộc vào đất rừng và tài nguyên cho sinh kế của họ",B2.3,B. No. households with forest protection contracts,B. số hộ gia đình có hợp đồng bảo vệ rừng,Output,SAME AS INDICATOR ABOVE – B2.2 F (incl disaggregation as above),,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods","chia sẻ lợi ích công bằng: Công nhận về vai trò của rừng và chia sẻ lợi ích về phát triển nông thôn và xóa đói giảm nghèo, đặc biệt đối với dân tộc thiểu số và các nhóm khác mà phụ thuộc vào đất rừng và tài nguyên cho sinh kế của họ",B2.3,C. Benefit sharing outcomes through PFES: Number of recipients of PFES payments in province,C. Lợi ích chia sẻ các kết quả thông qua PFES: Số người nhận thanh toán PFES tại tỉnh,Impact,PFES reporting/database,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods","chia sẻ lợi ích công bằng: Công nhận về vai trò của rừng và chia sẻ lợi ích về phát triển nông thôn và xóa đói giảm nghèo, đặc biệt đối với dân tộc thiểu số và các nhóm khác mà phụ thuộc vào đất rừng và tài nguyên cho sinh kế của họ",B2.3,C. Benefit sharing outcomes through PFES: Hectares covered by PFES arrangements: Total amount of PFES payments disbursed in reporting period,C. Lợi ích chia sẻ kết quả qua PFES: hecta được bao phủ bởi các thỏa thuận PFES: Tổng số tiền thanh toán PFES giải ngân trong giai đoạn báo cáo,Impact,,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,Bình đẳng giới dự kiến ​​sẽ được giải quyết và tôn trọng trong suốt thi hành NRAP và PRAPs,B2.4,A. Gender representation/participation information collected via other indicators:,A. Giới tính thông tin đại diện / tham gia thu thập thông qua các chỉ số khác:,Process/output,Linked to other indicators,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,Bình đẳng giới dự kiến ​​sẽ được giải quyết và tôn trọng trong suốt thi hành NRAP và PRAPs,B2.4,B1.1 D;,B.1.1 D;,Process/output,Linked to other indicators,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,Bình đẳng giới dự kiến ​​sẽ được giải quyết và tôn trọng trong suốt thi hành NRAP và PRAPs,B2.4,"B2.2 B, C, F, I","B2.2 B, C, F, I",Process/output,Linked to other indicators,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,Bình đẳng giới dự kiến ​​sẽ được giải quyết và tôn trọng trong suốt thi hành NRAP và PRAPs,B2.4,"B. GSO provincial level statistics for latest year available: Women in forest sector employment or if not available, in agriculture & forest sector employment","B. Tổng cục Thống kê thống kê cấp tỉnh cho năm mới nhất có sẵn: Phụ nữ trong lao động ngành lâm nghiệp hoặc nếu không có sẵn, trong nông nghiệp & ngành lâm nghiệp việc làm",Context,Provincial Statistics Office,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,Bình đẳng giới dự kiến ​​sẽ được giải quyết và tôn trọng trong suốt thi hành NRAP và PRAPs,B2.4,B. GSO provincial level statistics for latest year available: Gender Development Index by provinceGender Inequality Index by province,B. Tổng cục Thống kê thống kê cấp tỉnh cho năm mới nhất có sẵn: Chỉ số phát triển giới tính của provinceGender bất bình đẳng Index của tỉnh,Context,Provincial Statistics Office,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,Bình đẳng giới dự kiến ​​sẽ được giải quyết và tôn trọng trong suốt thi hành NRAP và PRAPs,B2.4,C. Implementation of FPIC processes: Percentage of FPIC processes completed with documentation submitted to PSO where target on female participation was achieved,C. Thực hiện FPIC xử lý: Tỷ lệ FPIC các quá trình hoàn thành với các tài liệu nộp cho PSO nơi mục tiêu về sự tham gia nữ đã đạt được,Process,FPIC monitoring forms – PSO to compile figure from these forms,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management","Phối hợp liên ngành giữa các Bộ có liên quan và các cơ quan, bao gồm cả những người trong lĩnh vực đất đai và rừng, là quan trọng, và khuôn khổ định nghĩa cơ chế pháp lý và thể chế để hỗ trợ này, trong đó có dòng rõ ràng về thông tin liên lạc giữa và giữa các ngành và các cấp chính quyền đối với rừng sự quản lý",B2.5,A. Provincial REDD+ Steering Committee established (Y/N),Ban Chỉ đạo A. tỉnh REDD + thành lập (Y / N),Process/Output,PPC Decision,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management","Phối hợp liên ngành giữa các Bộ có liên quan và các cơ quan, bao gồm cả những người trong lĩnh vực đất đai và rừng, là quan trọng, và khuôn khổ định nghĩa cơ chế pháp lý và thể chế để hỗ trợ này, trong đó có dòng rõ ràng về thông tin liên lạc giữa và giữa các ngành và các cấp chính quyền đối với rừng sự quản lý",B2.5,B. Cross sector REDD+ coordination meetings: Number of meetings held and total number of participants,B. Chữ thập ngành REDD + cuộc họp phối hợp: Số lượng các cuộc họp tổ chức và tổng số người tham gia,Process,"PSO monitoring (provincial meetings) - Participant lists, minutes",,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management","Phối hợp liên ngành giữa các Bộ có liên quan và các cơ quan, bao gồm cả những người trong lĩnh vực đất đai và rừng, là quan trọng, và khuôn khổ định nghĩa cơ chế pháp lý và thể chế để hỗ trợ này, trong đó có dòng rõ ràng về thông tin liên lạc giữa và giữa các ngành và các cấp chính quyền đối với rừng sự quản lý",B2.5,"B. Cross sector REDD+ coordination meetings: Breakdown of PSC membership: sectors represented (e.g. inclusion of planning, finance, construction, welfare, etc)","B. Chữ thập ngành REDD + cuộc họp phối hợp: Cơ cấu thành viên PSC: ngành đại diện (bao gồm ví dụ của việc lập kế hoạch, tài chính, xây dựng, phúc lợi, vv)",Process,"PSO monitoring (provincial meetings) - Participant lists, minutes",,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management","Phối hợp liên ngành giữa các Bộ có liên quan và các cơ quan, bao gồm cả những người trong lĩnh vực đất đai và rừng, là quan trọng, và khuôn khổ định nghĩa cơ chế pháp lý và thể chế để hỗ trợ này, trong đó có dòng rõ ràng về thông tin liên lạc giữa và giữa các ngành và các cấp chính quyền đối với rừng sự quản lý",B2.5,C. Number of integrated planning arrangements (may differ depending on REDD+ intervention packages): Number of district/provincial integrated master plans completed following Integrated Planning Law (2017),C. Số thỏa thuận quy hoạch tổng hợp (có thể khác nhau tùy theo gói can thiệp REDD +): Số lượng / quy hoạch tổng thể tích hợp tỉnh huyện hoàn thành sau Luật Kế hoạch tổng hợp (2017),Output,DPI / Overall REDD+ M&E for implementation of interventions,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management","Phối hợp liên ngành giữa các Bộ có liên quan và các cơ quan, bao gồm cả những người trong lĩnh vực đất đai và rừng, là quan trọng, và khuôn khổ định nghĩa cơ chế pháp lý và thể chế để hỗ trợ này, trong đó có dòng rõ ràng về thông tin liên lạc giữa và giữa các ngành và các cấp chính quyền đối với rừng sự quản lý",B2.5,"C. Number of integrated planning arrangements (may differ depending on REDD+ intervention packages): Number of cross-sector platforms/partnerships established (e.g. for coffee, rubber, shrimp or other commodity production)","C. Số thỏa thuận quy hoạch tổng hợp (có thể khác nhau tùy theo gói can thiệp REDD +): Số lượng nền tảng chéo ngành / quan hệ đối tác thành lập (ví dụ cho cà phê, cao su, tôm hoặc sản xuất hàng hoá khác)",Output,DPI / Overall REDD+ M&E for implementation of interventions,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Access to justice: The relevant dispute and conflict resolution mechanisms are expected to be available to stakeholders throughout the implementation of the proposed REDD+ actions under the NRAP and PRAPs to address any disputes arising from their implementation.,Tiếp cận công lý: Các cơ chế tranh chấp và giải quyết xung đột liên quan dự kiến ​​sẽ được cung cấp cho các bên liên quan trong suốt thực hiện các hành động đề xuất REDD + dưới NRAP và PRAPs để giải quyết bất kỳ tranh chấp phát sinh từ việc thực hiện của họ.,B2.6,A. GRM for REDD+ is established / operational down to commune/village level in all REDD+ areas (Y/N),A. GRM cho REDD + được thành lập / xuống hoạt động để cấp xã / làng trong mọi lĩnh vực REDD + (Y / N),Process,PSO,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Access to justice: The relevant dispute and conflict resolution mechanisms are expected to be available to stakeholders throughout the implementation of the proposed REDD+ actions under the NRAP and PRAPs to address any disputes arising from their implementation.,Tiếp cận công lý: Các cơ chế tranh chấp và giải quyết xung đột liên quan dự kiến ​​sẽ được cung cấp cho các bên liên quan trong suốt thực hiện các hành động đề xuất REDD + dưới NRAP và PRAPs để giải quyết bất kỳ tranh chấp phát sinh từ việc thực hiện của họ.,B2.6,"A. Number of grievances received, and number resolved, disaggregated by: Type/category of grievance","A. Số khiếu nại nhận được, và số được giải quyết, phân tổ theo: Loại / chủng loại khiếu nại",Process/output,GRM reporting / SSOs?,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Access to justice: The relevant dispute and conflict resolution mechanisms are expected to be available to stakeholders throughout the implementation of the proposed REDD+ actions under the NRAP and PRAPs to address any disputes arising from their implementation.,Tiếp cận công lý: Các cơ chế tranh chấp và giải quyết xung đột liên quan dự kiến ​​sẽ được cung cấp cho các bên liên quan trong suốt thực hiện các hành động đề xuất REDD + dưới NRAP và PRAPs để giải quyết bất kỳ tranh chấp phát sinh từ việc thực hiện của họ.,B2.6,"A. Number of grievances received, and number resolved, disaggregated by: Type of complainant (e.g. EM status, gender, poverty status)","A. Số khiếu nại nhận được, và số được giải quyết, phân tổ theo: Loại người khiếu nại (ví dụ tình trạng EM, giới tính, tình trạng nghèo đói)",Process/output,"OTHER GRM INDICATORS SHOULD LINK TO THIS ONE, I.E. B2.6 A IS THE MASTER INFDICTATOR.",,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,,,,,,Process/output,,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Stakeholder engagement: Recognition of the right to participate in REDD+ planning and implementation,,B2.7,Covered under safeguard (d),,Process/output,,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,C1. Công nhận dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C1.1,N/A – National level policies (address),,,,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,C1. Công nhận dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C1.2,A. Local communities and ethnic minorities affected by REDD+: No. of villages/communities in all REDD+ areas in province (total no.),,Context,Screening Forms / FPIC Forms,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,C1. Công nhận dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C1.2,A. Local communities and ethnic minorities affected by REDD+: No. of HHs in REDD+ areas,,Context,Screening Forms / FPIC Forms,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,C1. Công nhận dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C1.2,A. Local communities and ethnic minorities affected by REDD+: No. of EM HHs in REDD+ areas,,Context,Screening Forms / FPIC Forms,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,C2. Tôn trọng đối với những kiến ​​thức và quyền lợi của dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C2.1,B. No. of community agreements (huong/quy u’oc) including customary institutions: No. of existing arrangements improved,,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,C2. Tôn trọng đối với những kiến ​​thức và quyền lợi của dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C2.3,B. No. of community agreements (huong/quy u’oc) including customary institutions: No of new arrangements established,,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,C2. Tôn trọng đối với những kiến ​​thức và quyền lợi của dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C2.4,B. No. of community agreements (huong/quy u’oc) including customary institutions: Hectares of forest covered,,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,C2. Tôn trọng đối với những kiến ​​thức và quyền lợi của dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C2.6,IS THIS DIFFERENT TO CO-MANAGEMENT ARRGTS UNDER B2.2?,,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,C2. Tôn trọng đối với những kiến ​​thức và quyền lợi của dân tộc thiểu số và cộng đồng địa phương,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C2.7,"Number of REDD+ interventions (out of the total number) that support traditional forest management practices / knowledge (e.g. NTFPs, medicinal plants, water management, etc)",,Process,PSO – calculate from PRAP/REDD+ plan,,,,,,,
Safeguard C,C3.,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C3.1 Rights to land/resources,Indicators related to EM access to land and resources – based on disaggregated data from: - B2.2 B,,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C3.,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C3.1 Rights to land/resources,Indicators related to EM access to land and resources – based on disaggregated data from:- B2.2 D,,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C3.,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C3.1 Rights to land/resources,Indicators related to EM access to land and resources – based on disaggregated data from:- B2.2 F,,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C3.,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C3.1 Rights to land/resources,-Indicators related to EM access to land and resources – based on disaggregated data from: B2.3 A,,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C.4 Rights to complain,C.4 Quyền khiếu nại,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",,C4.1,LINK TO B2.6,,Process,GRM monitoring forms,,,,,,,
Safebuard D,D1,D1,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,D1.1/D1.2 Relevant Stakeholders,A. REDD+ Stakeholders identified: - Stakeholder mapping completed (and shared/published?) (Y/N),,Process/context,PRAP/REDD+ Stakeholders List (e.g. in PRAP) - PSO,,,,,,,
Safebuard D,D2,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,D2.1/D2.2 Participation,B. Participation in REDD+ planning and consultation processes – B1.1.D,,Process,Meeting reports/participant lists,,,,,,,
Safebuard D,D2,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,,C. FPIC processes – B1.1 E and B2.2 H,,Process,FPIC monitoring forms,,,,,,,
Safebuard D,D2,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,,D. Participation in REDD+ implementation & monitoring:,,Output,Co-management agreements,,,,,,,
Safebuard D,D2,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,,D. Participation in REDD+ implementation & monitoring: - B 2.2 G,,Output,Co-management agreements,,,,,,,
