Safeguard name_l1,Criteria_l2,Criteria_l2_VN,Interpretation_l3,Interpretation_l3_VN,Criteria_number_l4,Indicator_name_l5,Indicator_name_l5_vn,Indicator type,Mean of verification,Column,Indicator table,Allias,Column 4,Column 5,Column 6,Column 7
Safebuard D,D2,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,,"E. Number of REDD+ interventions (out of total) that include stakeholder capacity building activities, and number of participants in capacity-building",,Process,PRAP/REDD+ plan document,,,,,,,
Safebuard D,D2,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,,"F. Number of training courses related to REDD+ capacity building held in the province, and number/type of participants (including by gender)",,Process,PRAP/REDD+ plan document,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,A. Negative checklists applied to all interventions (Y/N),,Process,Negative checklists (PSO),,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,"B. Protected areas and total ha (at any level) benefitting from REDD+ interventions (e.g. support to management, patrolling, demarcation, etc):Total ha of protected areas included in REDD+ intervetnions/plan",,Process,PRAP/REDD+ plan / PSO,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,"B. Protected areas and total ha (at any level) benefitting from REDD+ interventions (e.g. support to management, patrolling, demarcation, etc): Number of protected areas included in REDD+ interventions/plan as a proportion of total protected areas in province",,Process,PRAP/REDD+ plan / PSO,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,"C. Trends in area of forest quality (rich, medium, poor, very, poor) in ha by:",,Impact,FRMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,"C. Trends in area of forest quality (rich, medium, poor, very, poor) in ha by:- Natural forests",,Impact,FRMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,"C. Trends in area of forest quality (rich, medium, poor, very, poor) in ha by:- Three forest types",,Impact,FRMS/FORMIS,,,,,,,
Safeguard E,E2.1 Conversion of natural forest,E2.1 chuyển đổi rừng tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,A. Trends in area of natural forest:,,Impact,PFMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,,- Total ha of forest classified as NF compared to baseline,,Impact,PFMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.1 Environmental benefits,A. Trends in area of forest cover:,,Impact,PFMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.1 Environmental benefits,- Total ha of forest over past 5 years according to 3 forest categories,,Impact,PFMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.1 Environmental benefits,,,Impact,PFMS/FORMIS,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.1 Environmental benefits,B. Proportion of interventions where environmental & social screening applied and documented,,Output,Environmental & social screening forms,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.1 Environmental benefits,D. Number of interventions requiring IEE/EIA/EPPs and number completed (target = 100% of interventions requiring these should have them completed),,Output,EIA/EPP report,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,"A. Trends in poverty status (poor, near poor, medium, rich HHs) in REDD+ areas: - Number of households by poverty status in REDD+ areas compared to baseline",,Impact,Commune statistics / social screening forms,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,B. Community co – management arrangements (same as B2.2),,Output,Community agreements / screening forms,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,"C. Total no. of communities receiving community investments (roads, irrigation, other infrastructure)",,Output,Community agreements,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,D. People receiving benefits from REDD+:,,Process / output?,Community agreements,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,D. People receiving benefits from REDD+: - Link to B2.3A: No. of community agreements,,Process / output?,Community agreements,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,D. People receiving benefits from REDD+: - B2.3 B: Household protection contracts,,Process / output?,Community agreements,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,D. People receiving benefits from REDD+: - B2.3 C: PFES,,Process / output?,Community agreements,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,"D. People receiving benefits from REDD+: - Other options for some provinces: No. people / HHs receiving alternative/sustainable livelihoods support (e.g. NTFPs, ecotourism, agricultural interventions) via interventions",,Process / output?,Community agreements,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,E1. Nhìn chung / Tính nhất quán với bảo tồn rừng và đa dạng sinh học tự nhiên,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,E3.2 Social benefits,E. Number of GRM complaints received and resolved related to livelihoods or other socio-economic factors,,Process,GRM monitoring forms,,,,,,,
Safeguard F,F2. Actions to address the risks of reversals,F2. Hoạt động để giải quyết các nguy cơ đảo ngược,NA,,NA,"A. Analysis conducted: 
 - Drivers analysis conducted for PRAP/REDD+ planning and includes both direct and indirect drivers of deforestation/forest degradation (Y/N) 
 - Benefits and risks assessment conducted and includes potential risks of reversals",,Process,PRAPs/ REDD+ plans; and environmental & social assessments,,,,,,,
Safeguard F,F2. Actions to address the risks of reversals,F2. Hoạt động để giải quyết các nguy cơ đảo ngược,NA,,NA,B. THIS DEPENDS ON WHETHER NRAP HAS EXPECTATIONS OF INCIDENT MONITORING BY PROVS OR ONLY AT NAT LEVEL,,Impact,FRMS/FORMIS,,,,,,,
Safeguard G,G1. Displacement of emissions,G1. Dịch chuyển của khí thải,"Actions to reduce displacement of emissions. Displacement is an important issue with regard to REDD+ because there may be no net reduction in emissions if deforestation has simply shifted to another area as a consequence of REDD+ implementation. In order to reduce the risks of displacement, the NRAP and PRAPs identify key drivers of deforestation and degradation, as well as potential opportunities for forest enhancement, and clarify how these drivers are to be addressed by the REDD+ PaMs. Potential social and environmental impacts of the proposed PaMs are to be identified and mitigated, including conflicts linked to land use in REDD+ intervention areas. The NFMS is also expected to be capable of identifying instances of deforestation and forest degradation, which, through further investigation may be shown to be due to displacement as a consequence of REDD+ implementation. NFMS tracking of deforestation and forest degradation, coupled with analysis of causes, can inform actions taken to reduce the risk of any further displacement. In addition, Viet Nam has cross-border collaboration agreements on forest management and trade with neighbouring countries (e.g. Lao PDR and Cambodia), which can help identify and reduce potential regional displacement.",,,N/A – no provincial monitoring for this criterion,,,,,,,,,,
,,,,,,,,,,,Indicator_id,ko hiển thị,,,,
,,,,,,,,,,,Indicator_sort,TT,,,,
,,,,,,,,,,,Indicator_name,Tên chỉ số,,,,
,,,,,,,,,,,Indicator Unit,Đơn vị,,,,
,,,,,,,,,,,Safeguad table,,,,level1,
,,,,,,,,,,,Safeguard_id,không hiển thị,,,,
,,,,,,,,,,,Safeguard name_l1,Tên Safeguard,,,,
,,,,,,,,,,,Criteria_l2,Tiêu chí,,,,
,,,,,,,,,,,Interpretation_l3,Mô tả,,,,
,,,,,,,,,,,Criteria_number_l4,Số tiêu chí,,,,
,,,,,,,,,,,Indicator_name_l5,Tên chỉ số,,,,
,,,,,,,,,,,Tỉnh,,,,,
,,,,,,,,,,,Province_name,Tên tỉnh,,,,Indicator A
,,,,,,,,,,,Province_id,mã tỉnh,,,,
,,,,,,,,,,,Tỉnh A vào năm B có Indicator C: là D,,,,,
,,,,,,,,,,,Indicator ID,,,,,
,,,,,,,,,,,Tỉnh,,,,,
,,,,,,,,,,,Year,Năm kê khai,,,,
,,,,,,,,,,,Indicator Value Number,Giá trị,,,,
,,,,,,,,,,,Indicator Value Text,Nội dung chỉ số,,,,